time,price
1705075200000,23179.42384957
1704988800000,25592.16888707
1704902400000,50059.09287579
1704816000000,37228.30513452
1704729600000,27135.98331173
1704643200000,21036.57029625
1704556800000,8392.84778305
1704470400000,11218.63020597
1704384000000,25219.90084603
1704297600000,22396.14267526
1704211200000,36954.95822055
1704124800000,22457.94120446
1704038400000,6214.51469206
1703952000000,9395.39501423
1703865600000,12797.04888955
1703779200000,13798.32152259
1703692800000,10828.4778683
1703606400000,13261.69180208
1703520000000,10881.59404707
1703433600000,9108.55490365
1703347200000,4075.38630312
1703260800000,6124.14379289
1703174400000,11381.83540819
1703088000000,14354.00138063
1703001600000,15811.36652187
1702915200000,15151.90417691
1702828800000,15960.95375126
1702742400000,6914.20951948
1702656000000,8594.40447449
1702569600000,13894.18214382
1702483200000,19735.49717237
1702396800000,12258.63570805
1702310400000,20522.17010443
1702224000000,23551.78299347
1702137600000,7363.54133929
1702051200000,9789.73666007
1701964800000,11535.15874285
1701878400000,13422.74324039
1701792000000,29065.14169604
1701705600000,15091.67535033
1701619200000,25743.8075093
1701532800000,10758.21882026
1701446400000,7317.76033504
1701360000000,11716.18919086
1701273600000,8331.36841207
1701187200000,15246.81303463
1701100800000,9517.22023751
1701014400000,13204.47702119
1700928000000,4343.06131197
1700841600000,7537.75841973
1700755200000,12804.4111362
1700668800000,15048.30626268
1700582400000,17662.8800295
1700496000000,17548.00820952
1700409600000,11291.49104458
1700323200000,3932.22485474
1700236800000,10748.50811674
1700150400000,15053.96700818
1700064000000,20813.74077607
1699977600000,17954.34329838
1699891200000,12997.13367356
1699804800000,7117.35951049
1699718400000,4998.82366869
1699632000000,6829.44833225
1699545600000,20806.70858337
1699459200000,29267.04327783
1699372800000,11081.50844086
1699286400000,7378.21073459
1699200000000,9505.81254449
1699113600000,6488.74459515
1699027200000,6743.33337346
1698940800000,12659.91460108
1698854400000,19366.53387665
1698768000000,12308.40615151
1698681600000,9416.37392742
1698595200000,10175.36267095
1698508800000,3432.27674656
1698422400000,7666.87256296
1698336000000,7416.314203
1698249600000,9902.61957275
1698163200000,13858.60274834
1698076800000,50302.54196156
1697990400000,14938.4332654
1697904000000,7805.6834492
1697817600000,4542.4158579
1697731200000,21724.77645913
1697644800000,7748.93352203
1697558400000,8732.67364374
1697472000000,11115.5738638
1697385600000,34257.21078295
1697299200000,2975.5193138
1697212800000,5001.48981824
1697126400000,4437.78452486
1697040000000,8523.48448683
1696953600000,10376.11022693
1696867200000,7676.86411488
1696780800000,6562.55839781
1696694400000,3708.51355972
1696608000000,5659.49433945
1696521600000,9532.0912298
1696435200000,7837.11147984
1696348800000,4730.65871591
1696262400000,10491.73646825
1696176000000,17636.31708827
1696089600000,3346.75751812
1696003200000,2908.13427276
1695916800000,10949.48813396
1695830400000,9292.24028802
1695744000000,11038.79701583
1695657600000,4058.07876271
1695571200000,8061.01033721
1695484800000,989.68749902
1695398400000,3296.17170339
1695312000000,6858.48957862
1695225600000,9884.7818936
1695139200000,7028.37489415
1695052800000,10920.84124224
1694966400000,7871.33429145
1694880000000,1877.13257755
1694793600000,4493.88693527
1694707200000,5557.79791707
1694620800000,9670.27652942
1694534400000,10293.73651312
1694448000000,15977.9883668
1694361600000,11606.96212728
1694275200000,2067.05948054
1694188800000,2845.97129098
1694102400000,10132.01359595
1694016000000,5700.87580391
1693929600000,3062.16756641
1693843200000,5158.93506494
1693756800000,4012.63444262
1693670400000,2389.42001268
1693584000000,6604.40715544
1693497600000,13977.20326039
1693411200000,6719.46788306
1693324800000,14382.05770446
1693238400000,13930.24490303
1693152000000,3151.97632891
1693065600000,1075.10512098
1692979200000,1731.18444607
1692892800000,6338.95794571
1692806400000,9745.51584865
1692720000000,9079.69762378
1692633600000,3275.81958628
1692547200000,4972.25455519
1692460800000,3202.8582587
1692374400000,10327.5629156
1692288000000,40207.02449994
1692201600000,16486.06492903
1692115200000,5983.89278616
1692028800000,4775.49169175
1691942400000,5587.98341349
1691856000000,1605.22827455
1691769600000,2402.21598822
1691683200000,4537.74303075
1691596800000,6467.56622676
1691510400000,9236.0263317
1691424000000,6571.22151509
1691337600000,3675.19640943
1691251200000,1456.65470047
1691164800000,4265.44278425
1691078400000,3979.18105803
1690992000000,6067.76676605
1690905600000,13089.96898883
1690819200000,6692.10248626
1690732800000,4305.57522128
1690646400000,1568.22727437
1690560000000,2612.9890228
1690473600000,4202.37398323
1690387200000,7460.56237029
1690300800000,3950.65564487
1690214400000,4478.93279369
1690128000000,12705.18885902
1690041600000,2518.79626753
1689955200000,2566.01286551
1689868800000,5101.69760802
1689782400000,6624.81290234
1689696000000,5871.13940849
1689609600000,8878.43091914
1689523200000,4670.52047555
1689436800000,3718.17126116
1689350400000,11602.17170944
1689264000000,16453.93583057
1689177600000,9164.43579313
1689091200000,7823.07883166
1689004800000,9534.07137954
1688918400000,4950.1194707
1688832000000,2335.20851415
1688745600000,2846.9631705
1688659200000,8860.55373331
1688572800000,15345.70324615
1688486400000,6757.71047535
1688400000000,8124.34808798
1688313600000,7345.84391869
1688227200000,3029.89273346
1688140800000,7919.65621059
1688054400000,24786.56390881
1687968000000,10011.63549812
1687881600000,9563.57087011
1687795200000,11768.54106831
1687708800000,8956.16270204
1687622400000,7242.9054375
1687536000000,14834.23624447
1687449600000,15975.67222459
1687363200000,22569.12305919
1687276800000,36112.15467007
1687190400000,13247.28634288
1687104000000,5348.46213571
1687017600000,3013.19640316
1686931200000,12655.13335999
1686844800000,11899.92967334
1686758400000,17851.29052174
1686672000000,3850.17267159
1686585600000,10605.68840235
1686499200000,7560.6564536
1686412800000,9970.33910988
1686326400000,13094.50882615
1686240000000,5793.97903842
1686153600000,7152.88638604
1686067200000,21251.74963344
1685980800000,20043.68328515
1685894400000,9694.69173266
1685808000000,3213.71441554
1685721600000,2801.47696343
1685635200000,8009.61955278
1685548800000,6381.70130337
1685462400000,11220.23964695
1685376000000,5150.77675779
1685289600000,13349.52719816
1685203200000,5307.31794475
1685116800000,2941.15113757
1685030400000,6878.12388027
1684944000000,8120.87068256
1684857600000,13403.63509348
1684771200000,8830.46554776
1684684800000,6252.5367057
1684598400000,4131.94370231
1684512000000,2095.06895374
1684425600000,8428.86711681
1684339200000,7459.62757228
1684252800000,7427.70029654
1684166400000,8265.94324308
1684080000000,7679.2554082
1683993600000,4147.64709339
1683907200000,8279.92807901
1683820800000,11048.9168688
1683734400000,19060.84917185
1683648000000,8333.35780764
1683561600000,8927.30488375
1683475200000,12028.41291379
1683388800000,5070.23557116
1683302400000,10155.80939796
1683216000000,8780.14243656
1683129600000,10782.82343885
1683043200000,7316.64687762
1682956800000,11052.8969525
1682870400000,12880.33763642
1682784000000,5084.12142132
1682697600000,3649.52078679
1682611200000,11300.8792102
1682524800000,28898.93650633
1682438400000,17039.67997474
1682352000000,7754.06277767
1682265600000,8146.11477706
1682179200000,5491.85336459
1682092800000,9858.63695044
1682006400000,12109.6359205
1681920000000,13876.01943111
1681833600000,14632.42058074
1681747200000,7996.05163601
1681660800000,8768.17244792
1681574400000,3099.38754474
1681488000000,4015.45572056
1681401600000,12649.48305967
1681315200000,7600.80676995
1681228800000,11141.3292174
1681142400000,18220.16580535
1681056000000,5521.9711123
1680969600000,2583.84321372
1680883200000,3092.98813506
1680796800000,3956.6002933
1680710400000,6807.49140722
1680624000000,9234.96302073
1680537600000,11616.08344267
1680451200000,11687.14167303
1680364800000,3536.58618129
1680278400000,4663.91024925
1680192000000,15334.48717769
1680105600000,14108.62791402
1680019200000,15530.50273162
1679932800000,12039.48509796
1679846400000,10320.22325071
1679760000000,6848.79774338
1679673600000,10284.28979609
1679587200000,17129.94086229
1679500800000,28488.10592812
1679414400000,10422.76141323
1679328000000,12455.68632569
1679241600000,21016.27810352
1679155200000,11336.81070727
1679068800000,20526.42735252
1678982400000,25013.69119116
1678896000000,20419.65004445
1678809600000,34116.74863089
1678723200000,41406.93579315
1678636800000,42959.04294338
1678550400000,8499.75361874
1678464000000,22981.16885117
1678377600000,39211.16573839
1678291200000,8920.06144302
1678204800000,7543.74545339
1678118400000,7836.55672787
1678032000000,4979.86473597
1677945600000,4754.49093391
1677859200000,3663.74584373
1677772800000,16475.69697206
1677686400000,6280.92739982
1677600000000,8118.54020033
1677513600000,6394.60439646
1677427200000,7228.62259393
1677340800000,4146.09650344
1677254400000,8968.84280176
1677168000000,8485.75908435
1677081600000,11796.08074964
1676995200000,10336.3399677
1676908800000,8957.46572398
1676822400000,12830.50511094
1676736000000,4375.80693549
1676649600000,9640.32289789
1676563200000,15657.02963198
1676476800000,16568.86585783
1676390400000,6632.95488841
1676304000000,9704.00724859
1676217600000,6813.3733125
1676131200000,3387.4763504
1676044800000,3173.62750815
1675958400000,11861.75150227
1675872000000,7747.46516046
1675785600000,6426.2342355
1675699200000,3619.55907255
1675612800000,6093.53784381
1675526400000,3786.35724739
1675440000000,3347.99769589
1675353600000,8110.86133046
1675267200000,12792.19847646
1675180800000,4549.46768409
1675094400000,7964.66242283
