time,price
1705075200000,0
1704988800000,1
1704902400000,1
1704816000000,1
1704729600000,1
1704643200000,1
1704556800000,1
1704470400000,1
1704384000000,1
1704297600000,1
1704211200000,1
1704124800000,1
1704038400000,1
1703952000000,1
1703865600000,1
1703779200000,1
1703692800000,1
1703606400000,1
1703520000000,1
1703433600000,1
1703347200000,1
1703260800000,1
1703174400000,1
1703088000000,1
1703001600000,1
1702915200000,1
1702828800000,1
1702742400000,1
1702656000000,1
1702569600000,1
1702483200000,1
1702396800000,1
1702310400000,1
1702224000000,1
1702137600000,1
1702051200000,1
1701964800000,1
1701878400000,1
1701792000000,1
1701705600000,1
1701619200000,1
1701532800000,1
1701446400000,1
1701360000000,1
1701273600000,1
1701187200000,1
1701100800000,1
1701014400000,1
1700928000000,1
1700841600000,1
1700755200000,1
1700668800000,1
1700582400000,1
1700496000000,1
1700409600000,1
1700323200000,1
1700236800000,1
1700150400000,1
1700064000000,1
1699977600000,1
1699891200000,1
1699804800000,1
1699718400000,1
1699632000000,1
1699545600000,1
1699459200000,1
1699372800000,1
1699286400000,1
1699200000000,1
1699113600000,1
1699027200000,1
1698940800000,1
1698854400000,1
1698768000000,1
1698681600000,1
1698595200000,1
1698508800000,1
1698422400000,1
1698336000000,1
1698249600000,1
1698163200000,1
1698076800000,1
1697990400000,1
1697904000000,1
1697817600000,1
1697731200000,1
1697644800000,1
1697558400000,1
1697472000000,1
1697385600000,1
1697299200000,1
1697212800000,1
1697126400000,1
1697040000000,1
1696953600000,1
1696867200000,1
1696780800000,1
1696694400000,1
1696608000000,1
1696521600000,1
1696435200000,1
1696348800000,1
1696262400000,1
1696176000000,1
1696089600000,1
1696003200000,1
1695916800000,1
1695830400000,1
1695744000000,1
1695657600000,1
1695571200000,1
1695484800000,1
1695398400000,1
1695312000000,1
1695225600000,1
1695139200000,1
1695052800000,1
1694966400000,1
1694880000000,1
1694793600000,1
1694707200000,1
1694620800000,1
1694534400000,1
1694448000000,1
1694361600000,1
1694275200000,1
1694188800000,1
1694102400000,1
1694016000000,1
1693929600000,1
1693843200000,1
1693756800000,1
1693670400000,1
1693584000000,1
1693497600000,1
1693411200000,1
1693324800000,1
1693238400000,1
1693152000000,1
1693065600000,1
1692979200000,1
1692892800000,1
1692806400000,1
1692720000000,1
1692633600000,1
1692547200000,1
1692460800000,1
1692374400000,1
1692288000000,1
1692201600000,1
1692115200000,1
1692028800000,1
1691942400000,1
1691856000000,1
1691769600000,1
1691683200000,1
1691596800000,1
1691510400000,1
1691424000000,1
1691337600000,1
1691251200000,1
1691164800000,1
1691078400000,1
1690992000000,1
1690905600000,1
1690819200000,1
1690732800000,1
1690646400000,1
1690560000000,1
1690473600000,1
1690387200000,1
1690300800000,1
1690214400000,1
1690128000000,1
